sl,year,statename,pcname,candidate,sex,party,total,overpolled,votesv,electors,polled,pollperc,rank,win,alliance
9837,1991,WEST BENGAL,HOWRAH,SAWAL SINGH,M,IND,292,0.04%,,1166213,801451,68.72%,21,0,OTHERS
9838,1991,WEST BENGAL,HOWRAH,RANJIT CHATTERJEE,M,IND,292,0.04%,,1166213,801451,68.72%,21,0,OTHERS
9839,1991,WEST BENGAL,HOWRAH,RAJENDRA NATH GUPTA,M,IND,264,0.03%,,1166213,801451,68.72%,23,0,OTHERS
9840,1991,WEST BENGAL,HOWRAH,DULAL MAL,M,IND,201,0.03%,,1166213,801451,68.72%,24,0,OTHERS
9843,1991,WEST BENGAL,ULUBERIA,HANNAN MOLLAH,M,CPM,371955,50.12%,,989854,756137,76.39%,1,1,OTHERS
9844,1991,WEST BENGAL,ULUBERIA,MINATI ADHIKARI (W),F,INC,294474,39.68%,,989854,756137,76.39%,2,0,INC
9845,1991,WEST BENGAL,ULUBERIA,MONILAL BASU,M,BJP,65533,8.83%,,989854,756137,76.39%,3,0,BJP
9851,1991,WEST BENGAL,ULUBERIA,KRISHNA CHANDRA KOLEY,M,MCPI,3208,0.43%,,989854,756137,76.39%,4,0,OTHERS
9852,1991,WEST BENGAL,ULUBERIA,JOGES CHANDRA SARKAR,M,BSP,2427,0.33%,,989854,756137,76.39%,5,0,OTHERS
9853,1991,WEST BENGAL,ULUBERIA,SK SULTAN AHMED,M,IND,1390,0.19%,,989854,756137,76.39%,6,0,OTHERS
9854,1991,WEST BENGAL,ULUBERIA,SUBHADRA PATRA (W),F,IND,1051,0.14%,,989854,756137,76.39%,7,0,OTHERS
9855,1991,WEST BENGAL,ULUBERIA,SATYANARAIYAN KEWAT,M,DDP,981,0.13%,,989854,756137,76.39%,8,0,OTHERS
9856,1991,WEST BENGAL,ULUBERIA,ISRAFIL MD,M,IND,657,0.09%,,989854,756137,76.39%,9,0,OTHERS
9857,1991,WEST BENGAL,ULUBERIA,BANKIM DAS,M,IND,487,0.07%,,989854,756137,76.39%,10,0,OTHERS
9860,1991,WEST BENGAL,SERAMPORE,SUDARSAN ROY CHOWDHURY,M,CPM,366535,46.21%,,1121057,810618,72.31%,1,1,OTHERS
9861,1991,WEST BENGAL,SERAMPORE,BIMALKANTI GHOSH,M,INC,322038,40.60%,,1121057,810618,72.31%,2,0,INC
9862,1991,WEST BENGAL,SERAMPORE,DWARKA PRASAD THIRANI,M,BJP,91289,11.51%,,1121057,810618,72.31%,3,0,BJP
9863,1991,WEST BENGAL,SERAMPORE,PRASANTASANKAR GHATAK,M,IND,3285,0.41%,,1121057,810618,72.31%,4,0,OTHERS
9864,1991,WEST BENGAL,SERAMPORE,GAUTAM BANERJEE,M,IND,2831,0.36%,,1121057,810618,72.31%,5,0,OTHERS
9865,1991,WEST BENGAL,SERAMPORE,SAMIR KUMAR MITRA,M,BSP,2795,0.35%,,1121057,810618,72.31%,6,0,OTHERS
9866,1991,WEST BENGAL,SERAMPORE,MILAN MOOKHERJEE,M,IND,1491,0.19%,,1121057,810618,72.31%,7,0,OTHERS
9867,1991,WEST BENGAL,SERAMPORE,PREM NATH THAKUR,M,DDP,1149,0.14%,,1121057,810618,72.31%,8,0,OTHERS
9868,1991,WEST BENGAL,SERAMPORE,DEB KUMAR DUTTA,M,IND,1024,0.13%,,1121057,810618,72.31%,9,0,OTHERS
9869,1991,WEST BENGAL,SERAMPORE,INDRAJIT SEAL,M,IND,801,0.10%,,1121057,810618,72.31%,10,0,OTHERS
9872,1991,WEST BENGAL,HOOGHLY,RUPCHAND PAL,M,CPM,383238,49.00%,,1002466,796160,79.42%,1,1,OTHERS
9873,1991,WEST BENGAL,HOOGHLY,UMASNKAR HALDER,M,INC,327579,41.88%,,1002466,796160,79.42%,2,0,INC
9874,1991,WEST BENGAL,HOOGHLY,SUNIL DAS,M,BJP,58406,7.47%,,1002466,796160,79.42%,3,0,BJP
9875,1991,WEST BENGAL,HOOGHLY,CHITTAGANTAIT,M,IND,3747,0.48%,,937077,440226,46.98%,4,0,OTHERS
9876,1991,WEST BENGAL,HOOGHLY,SANJIB BHATTACHARYYA,M,IND,3507,0.45%,,937077,440226,46.98%,5,0,OTHERS
9877,1991,WEST BENGAL,HOOGHLY,JATINDRA NATH BORAL,M,BSP,3452,0.44%,,937077,440226,46.98%,6,0,OTHERS
9878,1991,WEST BENGAL,HOOGHLY,RAMJIUT PATWA,M,DDP,1492,0.19%,,937077,440226,46.98%,7,0,OTHERS
9879,1991,WEST BENGAL,HOOGHLY,SATISH CHANDRA MAL,M,IND,755,0.10%,,937077,440226,46.98%,8,0,OTHERS
9882,1991,WEST BENGAL,ARAMBAGH,ANIL BASU,M,CPM,448318,56.27%,,1070495,689440,64.40%,1,1,OTHERS
9883,1991,WEST BENGAL,ARAMBAGH,SK HASAN IMAM,M,INC,300046,37.66%,,1070495,689440,64.40%,2,0,INC
9884,1991,WEST BENGAL,ARAMBAGH,DHRUVA CHAKRAVARTTI,M,BJP,37393,4.69%,,1070495,689440,64.40%,3,0,BJP
9885,1991,WEST BENGAL,ARAMBAGH,CHANDI DUTT,M,IND,6679,0.84%,,1070495,689440,64.40%,4,0,OTHERS
9886,1991,WEST BENGAL,ARAMBAGH,BHARASHI SHARMA,M,DDP,4310,0.54%,,1070495,689440,64.40%,5,0,OTHERS
9889,1991,WEST BENGAL,PANSKURA,GITA MUKHERJEE (W),F,CPI,391509,54.96%,,871446,723796,83.06%,1,1,OTHERS
9890,1991,WEST BENGAL,PANSKURA,SUDHANSHU BHOWMIK,M,INC,265209,37.23%,,871446,723796,83.06%,2,0,INC
9891,1991,WEST BENGAL,PANSKURA,PANNALAL BHATTACHARYA,M,BJP,42059,5.90%,,871446,723796,83.06%,3,0,BJP
9892,1991,WEST BENGAL,PANSKURA,MANIK MAITY,M,IND,4121,0.58%,,871446,723796,83.06%,4,0,OTHERS
9893,1991,WEST BENGAL,PANSKURA,JAGDISWAR PANJA,M,JP,3874,0.54%,,871446,723796,83.06%,5,0,OTHERS
9894,1991,WEST BENGAL,PANSKURA,MAITY SUKESH,M,IND,1708,0.24%,,871446,723796,83.06%,6,0,OTHERS
9895,1991,WEST BENGAL,PANSKURA,RABINDRA KUMAR GHOSH,M,IND,1328,0.19%,,871446,723796,83.06%,7,0,OTHERS
9896,1991,WEST BENGAL,PANSKURA,SIKARI DHOBEY,M,DDP,1278,0.18%,,871446,723796,83.06%,8,0,OTHERS
9897,1991,WEST BENGAL,PANSKURA,PURUSOTTAMLAL UPADHYAY,M,IND,1203,0.17%,,871446,723796,83.06%,9,0,OTHERS
9905,1991,WEST BENGAL,TAMLUK,SATYAGOPAL MISRA,M,CPM,352139,46.16%,,939938,773742,82.32%,1,1,OTHERS
9906,1991,WEST BENGAL,TAMLUK,JAYANTA BHATTACHARYA,M,INC,351077,46.02%,,939938,773742,82.32%,2,0,INC
9907,1991,WEST BENGAL,TAMLUK,BHHOLANATH DINDA,M,BJP,33425,4.38%,,939938,773742,82.32%,3,0,BJP
9908,1991,WEST BENGAL,TAMLUK,JATIN PAKHIRA,M,IND,12640,1.66%,,939938,773742,82.32%,4,0,OTHERS
9909,1991,WEST BENGAL,TAMLUK,ASHUTOSH SAMANTA,M,IND,12201,1.60%,,939938,773742,82.32%,5,0,OTHERS
9910,1991,WEST BENGAL,TAMLUK,JAGAT SAU,M,DDP,1368,0.18%,,939938,773742,82.32%,6,0,OTHERS
9913,1991,WEST BENGAL,CONTAI,SUDHIR GIRI,M,CPM,323390,47.23%,,870090,696283,80.02%,1,1,OTHERS
9914,1991,WEST BENGAL,CONTAI,ABHA MAITI (W),F,INC,300274,43.85%,,870090,696283,80.02%,2,0,INC
9915,1991,WEST BENGAL,CONTAI,AMELESH MISRA,M,BJP,45384,6.63%,,870090,696283,80.02%,3,0,BJP
9916,1991,WEST BENGAL,CONTAI,BIMAL JANA,M,IND,4946,0.72%,,953560,651048,68.28%,4,0,OTHERS
9917,1991,WEST BENGAL,CONTAI,ARABINDA MANNA,M,JP,4799,0.70%,,953560,651048,68.28%,5,0,OTHERS
9918,1991,WEST BENGAL,CONTAI,RANA SANTOSH,M,IND,3503,0.51%,,953560,651048,68.28%,6,0,OTHERS
9919,1991,WEST BENGAL,CONTAI,KAHAR BATESWAR,M,DDP,1239,0.18%,,953560,651048,68.28%,7,0,OTHERS
9920,1991,WEST BENGAL,CONTAI,ADHAR NAHAL,M,HMS,1211,0.18%,,953560,651048,68.28%,8,0,OTHERS
9923,1991,WEST BENGAL,MIDNAPORE,INDRAJIT GUPTA,M,CPI,396281,54.82%,,960598,734499,76.46%,1,1,OTHERS
9924,1991,WEST BENGAL,MIDNAPORE,BIRENDRA BIJOY MALLADEV,M,INC,232758,32.20%,,960598,734499,76.46%,2,0,INC
9925,1991,WEST BENGAL,MIDNAPORE,MONORANJAN DUTTA,M,BJP,68772,9.51%,,960598,734499,76.46%,3,0,BJP
9926,1991,WEST BENGAL,MIDNAPORE,DILIP MAITY,M,IND,6372,0.88%,,960598,734499,76.46%,4,0,OTHERS
9927,1991,WEST BENGAL,MIDNAPORE,MIRZA OHIDUR RAHAMAN,M,JP,5550,0.77%,,960598,734499,76.46%,5,0,OTHERS
9928,1991,WEST BENGAL,MIDNAPORE,PADMA LOCHAN ROY,M,IND,4717,0.65%,,960598,734499,76.46%,6,0,OTHERS
9929,1991,WEST BENGAL,MIDNAPORE,CHANDRA MOHAN HANSDA,M,HJP,4526,0.63%,,960598,734499,76.46%,7,0,OTHERS
9930,1991,WEST BENGAL,MIDNAPORE,SATISH CHANDRA BISWAS,M,BSP,1852,0.26%,,960598,734499,76.46%,8,0,OTHERS
9931,1991,WEST BENGAL,MIDNAPORE,SATYA NARAIYAN KOTWALA,M,DDP,1335,0.18%,,960598,734499,76.46%,9,0,OTHERS
9932,1991,WEST BENGAL,MIDNAPORE,SUSHIL KUMAR,M,IND,678,0.09%,,960598,734499,76.46%,10,0,OTHERS
9935,1991,WEST BENGAL,JHARGRAM (ST),RUPCHAND MURMU,M,CPM,375760,55.79%,,883949,690183,78.08%,1,1,OTHERS
9936,1991,WEST BENGAL,JHARGRAM (ST),AMIYA KISKU,M,JKP,223453,33.18%,,883949,690183,78.08%,2,0,OTHERS
9937,1991,WEST BENGAL,JHARGRAM (ST),PANCHANAN HANSDA,M,BJP,36018,5.35%,,861510,318386,36.96%,3,0,BJP
9938,1991,WEST BENGAL,JHARGRAM (ST),JOYRAM MANDI,M,IND,21534,3.20%,,861510,318386,36.96%,4,0,OTHERS
9939,1991,WEST BENGAL,JHARGRAM (ST),TUDU LEBA CHAND,M,HJP,7089,1.05%,,861510,318386,36.96%,5,0,OTHERS
9940,1991,WEST BENGAL,JHARGRAM (ST),DEBENDRANATH MAJHI,M,IND,6907,1.03%,,861510,318386,36.96%,6,0,OTHERS
9941,1991,WEST BENGAL,JHARGRAM (ST),MANGAL BASKEY,M,AMB,2769,0.41%,,861510,318386,36.96%,7,0,OTHERS
9944,1991,WEST BENGAL,PURULIA,CHITTA RANJAN MAHATA,M,FBL,336105,51.53%,,914959,672089,73.46%,1,1,OTHERS
9945,1991,WEST BENGAL,PURULIA,SANAT MUKHERJEE,M,INC,210165,32.22%,,914959,672089,73.46%,2,0,INC
9946,1991,WEST BENGAL,PURULIA,SURJA NARAIAYN MAHATO,M,JMM,62941,9.65%,,914959,672089,73.46%,3,0,OTHERS
9947,1991,WEST BENGAL,PURULIA,GHANSHYAM MAHATA,M,BJP,25115,3.85%,,914959,672089,73.46%,4,0,BJP
9948,1991,WEST BENGAL,PURULIA,PURNA CHANDRA MAHATO,M,IND,4261,0.65%,,914959,672089,73.46%,5,0,OTHERS
9949,1991,WEST BENGAL,PURULIA,SITARAM MAJHI,M,IND,4048,0.62%,,914959,672089,73.46%,6,0,OTHERS
9955,1991,WEST BENGAL,PURULIA,SWAPAN GHOSH,M,IND,3060,0.47%,,914959,672089,73.46%,7,0,OTHERS
9956,1991,WEST BENGAL,PURULIA,GOMASTA PRASAD SOREN,M,JKP,2066,0.32%,,914959,672089,73.46%,8,0,OTHERS
9957,1991,WEST BENGAL,PURULIA,SARBESWAR MAHATO,M,JP,1742,0.27%,,914959,672089,73.46%,9,0,OTHERS
9958,1991,WEST BENGAL,PURULIA,SUDHIR YADAV,M,DDP,1669,0.26%,,914959,672089,73.46%,10,0,OTHERS
9959,1991,WEST BENGAL,PURULIA,SUKUMAR DAS,M,IND,747,0.11%,,914959,672089,73.46%,11,0,OTHERS
9960,1991,WEST BENGAL,PURULIA,SARIT KUMAR CHAKRABORY,M,HMS,384,0.06%,,914959,672089,73.46%,12,0,OTHERS
9963,1991,WEST BENGAL,BANKURA,BASUDEV ACHARIA,M,CPM,374058,56.32%,,942357,682903,72.47%,1,1,OTHERS
9964,1991,WEST BENGAL,BANKURA,BRAJABASI BISWAS,M,INC,191435,28.82%,,942357,682903,72.47%,2,0,INC
9965,1991,WEST BENGAL,BANKURA,GUNAMOY CHATTERJEE,M,BJP,58978,8.88%,,942357,682903,72.47%,3,0,BJP
9966,1991,WEST BENGAL,BANKURA,BHASKAR BHADRA,M,IND,22353,3.37%,,942357,682903,72.47%,4,0,OTHERS
9967,1991,WEST BENGAL,BANKURA,NANDALAL KISKU,M,IND,11767,1.77%,,999363,623289,62.37%,5,0,OTHERS
9968,1991,WEST BENGAL,BANKURA,SANTIRAM BAG,M,DDP,2559,0.39%,,999363,623289,62.37%,6,0,OTHERS
9969,1991,WEST BENGAL,BANKURA,SAGAR CHANDRA MAHATO,M,IND,1422,0.21%,,999363,623289,62.37%,7,0,OTHERS
9970,1991,WEST BENGAL,BANKURA,SAKTI PADA MUKHOPADHYAY,M,IND,879,0.13%,,999363,623289,62.37%,8,0,OTHERS
9971,1991,WEST BENGAL,BANKURA,ASHIM GOSWAMI,M,BKUS,694,0.10%,,999363,623289,62.37%,9,0,OTHERS
9974,1991,WEST BENGAL,VISHNUPUR (SC),SUKHENDU KHAN,M,CPM,422385,58.57%,,918815,711036,77.39%,1,1,OTHERS
9975,1991,WEST BENGAL,VISHNUPUR (SC),SADHAN MAJHI,M,INC,232112,32.18%,,918815,711036,77.39%,2,0,INC
9976,1991,WEST BENGAL,VISHNUPUR (SC),PROVAKAR MONDAL,M,BJP,58555,8.12%,,918815,711036,77.39%,3,0,BJP
9977,1991,WEST BENGAL,VISHNUPUR (SC),GADADHAR DULEY,M,IND,6185,0.86%,,918815,711036,77.39%,4,0,OTHERS
9978,1991,WEST BENGAL,VISHNUPUR (SC),RABINDRA NATH BAG,M,DDP,1974,0.27%,,918815,711036,77.39%,5,0,OTHERS
9981,1991,WEST BENGAL,DURGAPUR (SC),PURNA CHANDRA MALIK,M,CPM,415011,55.35%,,1041160,767870,73.75%,1,1,OTHERS
9982,1991,WEST BENGAL,DURGAPUR (SC),BHAGABAT MAJI,M,INC,230395,30.73%,,1041160,767870,73.75%,2,0,INC
9983,1991,WEST BENGAL,DURGAPUR (SC),BYOM SNAKAR RUIDAS,M,BJP,85806,11.44%,,931499,449710,48.28%,3,0,BJP
9984,1991,WEST BENGAL,DURGAPUR (SC),PRAFULLA KR MONDAL,M,JMM,5990,0.80%,,931499,449710,48.28%,4,0,OTHERS
9985,1991,WEST BENGAL,DURGAPUR (SC),ASIT MONDAL,M,IND,5408,0.72%,,931499,449710,48.28%,5,0,OTHERS
9986,1991,WEST BENGAL,DURGAPUR (SC),BHAKTA DAS MONDAL,M,BSP,4835,0.64%,,931499,449710,48.28%,6,0,OTHERS
9987,1991,WEST BENGAL,DURGAPUR (SC),DEBABRATA BAG,M,DDP,2351,0.31%,,931499,449710,48.28%,7,0,OTHERS
9990,1991,WEST BENGAL,ASANSOL,HARADHAN ROY,M,CPM,316504,45.13%,,1126207,722290,64.13%,1,1,OTHERS
9991,1991,WEST BENGAL,ASANSOL,DEBA PRASAD ROY,M,INC,221646,31.61%,,1126207,722290,64.13%,2,0,INC
9992,1991,WEST BENGAL,ASANSOL,KINKAR TAPANANDA BRAHMACHARI,M,BJP,135641,19.34%,,1126207,722290,64.13%,3,0,BJP
9993,1991,WEST BENGAL,ASANSOL,BALAHARI MONDAL,M,CPI(ML),5739,0.82%,,1126207,722290,64.13%,4,0,OTHERS
9994,1991,WEST BENGAL,ASANSOL,JARASANDHA BOURI,M,BSP,5600,0.80%,,995423,497960,50.02%,5,0,OTHERS
9995,1991,WEST BENGAL,ASANSOL,MIHIR UPADHYAY,M,JP,4566,0.65%,,995423,497960,50.02%,6,0,OTHERS
9996,1991,WEST BENGAL,ASANSOL,MANIK CHATTERJEE,M,IND,3352,0.48%,,995423,497960,50.02%,7,0,OTHERS
9997,1991,WEST BENGAL,ASANSOL,MD BODRADOJA,M,IND,1695,0.24%,,995423,497960,50.02%,8,0,OTHERS
9998,1991,WEST BENGAL,ASANSOL,RAJ NATH KURMI,M,DDP,1542,0.22%,,995423,497960,50.02%,9,0,OTHERS
9999,1991,WEST BENGAL,ASANSOL,DURGADAS MONDAL,M,IND,1459,0.21%,,1126207,722290,64.13%,10,0,OTHERS
10000,1991,WEST BENGAL,ASANSOL,BIKASH CHANDRA GHOSH,M,IND,1009,0.14%,,1126207,722290,64.13%,11,0,OTHERS
10001,1991,WEST BENGAL,ASANSOL,ASIS RANNJAN SARKAR,M,IND,878,0.13%,,1126207,722290,64.13%,12,0,OTHERS
10002,1991,WEST BENGAL,ASANSOL,DEBIDAS MUKHERJEE,M,IND,843,0.12%,,1126207,722290,64.13%,13,0,OTHERS
10008,1991,WEST BENGAL,ASANSOL,SUBRATA MITRA,M,IND,766,0.11%,,1126207,722290,64.13%,14,0,OTHERS
10011,1991,WEST BENGAL,BURDWAN,SUDHIR RAY,M,CPM,479721,57.01%,,1061300,855125,80.57%,1,1,OTHERS
10012,1991,WEST BENGAL,BURDWAN,ASIT BARAN PATRA,M,INC,257829,30.64%,,1061300,855125,80.57%,2,0,INC
10013,1991,WEST BENGAL,BURDWAN,SATYEN ROY,M,BJP,90242,10.72%,,1012148,583129,57.61%,3,0,BJP
10014,1991,WEST BENGAL,BURDWAN,SYED NAJIBUDDEN,M,JP,4524,0.54%,,1012148,583129,57.61%,4,0,OTHERS
10015,1991,WEST BENGAL,BURDWAN,CHARAN HANSDA,M,JMM,4023,0.48%,,1012148,583129,57.61%,5,0,OTHERS
10016,1991,WEST BENGAL,BURDWAN,BHASKAR ROY CHOWDHURY,M,IND,3106,0.37%,,1012148,583129,57.61%,6,0,OTHERS
10017,1991,WEST BENGAL,BURDWAN,SAMBHUNATH RAJBHAR,M,DDP,1994,0.24%,,1012148,583129,57.61%,7,0,OTHERS
10020,1991,WEST BENGAL,KATWA,SAIFUDDIN CHOWDHRY,M,CPM,404358,50.24%,,1010077,819632,81.15%,1,1,OTHERS
10021,1991,WEST BENGAL,KATWA,NURUL ISLAM,M,IND,249634,31.02%,,1010077,819632,81.15%,2,0,OTHERS
10022,1991,WEST BENGAL,KATWA,SHANTI ROY,M,BJP,126873,15.76%,,1010077,819632,81.15%,3,0,BJP
10023,1991,WEST BENGAL,KATWA,GOPINATH MANDI,M,IND,7490,0.93%,,1010077,819632,81.15%,4,0,OTHERS
10024,1991,WEST BENGAL,KATWA,MRITYUNJOY RAKSHIT,M,IND,6870,0.85%,,1010077,819632,81.15%,5,0,OTHERS
10025,1991,WEST BENGAL,KATWA,GOPINATH BASKEY,M,JMM,6451,0.80%,,1010077,819632,81.15%,6,0,OTHERS
10026,1991,WEST BENGAL,KATWA,NALINI HALDAR (W),F,BSP,3172,0.39%,,1010077,819632,81.15%,7,0,OTHERS
10029,1991,WEST BENGAL,BOLPUR,CHATTERJEE SOMNATH,M,CPM,394496,56.64%,,925057,713844,77.17%,1,1,OTHERS
10030,1991,WEST BENGAL,BOLPUR,JIVAN MUKHOPADHYAY,M,IND,167872,24.10%,,925057,713844,77.17%,2,0,OTHERS
10031,1991,WEST BENGAL,BOLPUR,TARA PRASANNA SINGHA,M,BJP,117394,16.85%,,925057,713844,77.17%,3,0,BJP
10032,1991,WEST BENGAL,BOLPUR,ALOKE MUKHERJEE,M,IND,7577,1.09%,,935113,555097,59.36%,4,0,OTHERS
10033,1991,WEST BENGAL,BOLPUR,SAILENDRA NATH MAJUMDER,M,BSP,2654,0.38%,,935113,555097,59.36%,5,0,OTHERS
10034,1991,WEST BENGAL,BOLPUR,SHYMALI GHOSH (W),F,JP,2392,0.34%,,925057,713844,77.17%,6,0,OTHERS
10035,1991,WEST BENGAL,BOLPUR,SUNIL KUMAR MITRA,M,IND,2149,0.31%,,935113,555097,59.36%,7,0,OTHERS
10036,1991,WEST BENGAL,BOLPUR,MAHARAJ MISTRY,M,DDP,920,0.13%,,935113,555097,59.36%,8,0,OTHERS
10037,1991,WEST BENGAL,BOLPUR,MANOHAR MARMU,M,IND,615,0.09%,,935113,555097,59.36%,9,0,OTHERS
10038,1991,WEST BENGAL,BOLPUR,ABU TAHIR MIRZA,M,IND,428,0.06%,,925057,713844,77.17%,10,0,OTHERS
10041,1991,WEST BENGAL,BIRBHUM (SC),DOME RAMCHANDRA,M,CPM,334307,49.71%,,920781,692508,75.21%,1,1,OTHERS
10042,1991,WEST BENGAL,BIRBHUM (SC),SUBHENDU MONDAL,M,INC,171276,25.47%,,920781,692508,75.21%,2,0,INC
10043,1991,WEST BENGAL,BIRBHUM (SC),BISWANATH MONDAL,M,BJP,140944,20.96%,,919037,467156,50.83%,3,0,BJP
10044,1991,WEST BENGAL,BIRBHUM (SC),ASIM SAHA,M,IND,14282,2.12%,,919037,467156,50.83%,4,0,OTHERS
10045,1991,WEST BENGAL,BIRBHUM (SC),ONKAR RABIDAS,M,DDP,5816,0.86%,,919037,467156,50.83%,5,0,OTHERS
10046,1991,WEST BENGAL,BIRBHUM (SC),DUKARI SAHA,M,MUL,3789,0.56%,,919037,467156,50.83%,6,0,OTHERS
10047,1991,WEST BENGAL,BIRBHUM (SC),ASISH KUMAR SABA,M,IND,2152,0.32%,,919037,467156,50.83%,7,0,OTHERS
10051,1991,ANDAMAN NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,MANORANJAN BHAKTA,M,INC,54075,50.39%,,900486,668474,74.23%,1,1,INC
10052,1991,ANDAMAN NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,TAPAN BEPARI,M,CPM,47374,44.14%,,900486,668474,74.23%,2,0,OTHERS
10053,1991,ANDAMAN NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,BISHNU PADA RAY,M,BJP,5208,4.85%,,900486,668474,74.23%,3,0,BJP
10059,1991,ANDAMAN NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,BALAKRISHNA NAIDU SV,M,IND,454,0.42%,,900486,668474,74.23%,4,0,OTHERS
10060,1991,ANDAMAN NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,SHEREFE JB,M,IND,205,0.19%,,900486,668474,74.23%,5,0,OTHERS
10064,1991,CHANDIGARH,CHANDIGARH,PAWAN KUMAR BANSAL,M,INC,76628,35.86%,,372792,215637,57.84%,1,1,INC
10065,1991,CHANDIGARH,CHANDIGARH,SATYA PAL JAIN,M,BJP,61533,28.80%,,372792,215637,57.84%,2,0,BJP
10066,1991,CHANDIGARH,CHANDIGARH,HARMOHAN DHAWAN,M,JP,50177,23.48%,,372792,215637,57.84%,3,0,OTHERS
10067,1991,CHANDIGARH,CHANDIGARH,HARBHAJAN SINGH OSAHAN,M,BSP,10068,4.71%,,372792,215637,57.84%,4,0,OTHERS
10068,1991,CHANDIGARH,CHANDIGARH,PJS MEHTA,M,JD,5905,2.76%,,372792,215637,57.84%,5,0,OTHERS
10069,1991,CHANDIGARH,CHANDIGARH,KARAM SINGH RAJU,M,IND,1513,0.71%,,1017275,518574,50.98%,6,0,OTHERS
10070,1991,CHANDIGARH,CHANDIGARH,KESHWA NAND,M,IND,829,0.39%,,1017275,518574,50.98%,7,0,OTHERS
10071,1991,CHANDIGARH,CHANDIGARH,SHIV KUMAR,M,IND,749,0.35%,,1017275,518574,50.98%,8,0,OTHERS
10072,1991,CHANDIGARH,CHANDIGARH,KULJIT SINGH,M,IND,557,0.26%,,1017275,518574,50.98%,9,0,OTHERS
10073,1991,CHANDIGARH,CHANDIGARH,BHAJAN KAUR (W),F,IND,546,0.26%,,372792,215637,57.84%,10,0,OTHERS
10074,1991,CHANDIGARH,CHANDIGARH,MADAN LAL BEDI,M,IND,496,0.23%,,372792,215637,57.84%,11,0,OTHERS
10075,1991,CHANDIGARH,CHANDIGARH,DR DHAWAN,M,IND,305,0.14%,,372792,215637,57.84%,12,0,OTHERS
10076,1991,CHANDIGARH,CHANDIGARH,SANJEEV CHUNNI,M,IND,262,0.12%,,372792,215637,57.84%,13,0,OTHERS
10077,1991,CHANDIGARH,CHANDIGARH,SURINDER MULTANI,M,IND,245,0.11%,,372792,215637,57.84%,14,0,OTHERS
10078,1991,CHANDIGARH,CHANDIGARH,DHARAM VIR S/O MAM CHAND,M,IND,232,0.11%,,372792,215637,57.84%,15,0,OTHERS
10079,1991,CHANDIGARH,CHANDIGARH,SUBHASH CHANDER S/O DES RAJ,M,IND,218,0.10%,,372792,215637,57.84%,16,0,OTHERS
10080,1991,CHANDIGARH,CHANDIGARH,JASPAL SINGH,M,IND,198,0.09%,,372792,215637,57.84%,17,0,OTHERS
10081,1991,CHANDIGARH,CHANDIGARH,BALBIR SINGH MAKOL,M,IND,193,0.09%,,372792,215637,57.84%,18,0,OTHERS
10082,1991,CHANDIGARH,CHANDIGARH,SUKH LAL,M,KMS,193,0.09%,,372792,215637,57.84%,18,0,OTHERS
10083,1991,CHANDIGARH,CHANDIGARH,DALJIT SINGH,M,IND,173,0.08%,,372792,215637,57.84%,20,0,OTHERS
10084,1991,CHANDIGARH,CHANDIGARH,SHAYAM LAL,M,DDP,154,0.07%,,372792,215637,57.84%,21,0,OTHERS
10085,1991,CHANDIGARH,CHANDIGARH,SUBHASH CHANDER S/O PARAS DAS,M,IND,145,0.07%,,372792,215637,57.84%,22,0,OTHERS
10086,1991,CHANDIGARH,CHANDIGARH,MOHAN SINGH,M,IND,138,0.06%,,372792,215637,57.84%,23,0,OTHERS
10087,1991,CHANDIGARH,CHANDIGARH,JAWAHAR CHAND,M,IND,133,0.06%,,372792,215637,57.84%,24,0,OTHERS
10088,1991,CHANDIGARH,CHANDIGARH,AJAY JAGGA,M,IND,123,0.06%,,372792,215637,57.84%,25,0,OTHERS
10089,1991,CHANDIGARH,CHANDIGARH,DEV RAJ,M,IND,120,0.06%,,372792,215637,57.84%,26,0,OTHERS
10090,1991,CHANDIGARH,CHANDIGARH,CHANDER GUPTA KAPURIA,M,IND,119,0.06%,,372792,215637,57.84%,27,0,OTHERS
10091,1991,CHANDIGARH,CHANDIGARH,SSS SODHI,M,FBL,112,0.05%,,372792,215637,57.84%,28,0,OTHERS
10092,1991,CHANDIGARH,CHANDIGARH,DAYAL CHAND,M,IND,111,0.05%,,372792,215637,57.84%,29,0,OTHERS
10093,1991,CHANDIGARH,CHANDIGARH,TILAK RAJ,M,IND,102,0.05%,,372792,215637,57.84%,30,0,OTHERS
10094,1991,CHANDIGARH,CHANDIGARH,DHARAMBIR S/O MANFOOL,M,IND,102,0.05%,,372792,215637,57.84%,30,0,OTHERS
10095,1991,CHANDIGARH,CHANDIGARH,ANIL,M,IND,101,0.05%,,372792,215637,57.84%,32,0,OTHERS
10096,1991,CHANDIGARH,CHANDIGARH,BASHEER AHMED,M,IND,93,0.04%,,372792,215637,57.84%,33,0,OTHERS
10097,1991,CHANDIGARH,CHANDIGARH,HARBANS LAL MEHTA,M,MPP,87,0.04%,,372792,215637,57.84%,34,0,OTHERS
